TID,FIRST_NAME,LAST_NAME,TYPE,TITLE,ABSTRACT
91,Akash,Kalita,Contributed talk,Pretty good fractional revival on abelian Cayley graphs,"Let $\Gamma$ be a graph with the adjacency matrix $A$. The transition matrix of $\Gamma$, denoted $H(t)$, is defined as $H(t) := \exp(-\textbf{i}tA)$, where $t \in \mathbb{R}$ and $\textbf{i} := \sqrt{-1}$. The graph $\Gamma$ exhibits pretty good fractional revival (PGFR) between the vertices $a$ and $b$ if there exists a sequence $\{t_k\}$ in $\mathbb{R}$ such that $\lim_{k\to\infty} H(t_k){\textbf{e}_{a}} = \alpha{\textbf{e}_{a}} + \beta{\textbf{e}_{b}}$, where $\alpha, \beta(\neq 0) \in \mathbb{C}$ with $|\alpha|^2 + |\beta|^2 = 1$. In particular, if $\alpha = 0$, then $\Gamma$ exhibits pretty good state transfer (PGST) between $a$ and $b$. In this study, we first present a necessary and sufficient condition for the existence of PGFR on Cayley graphs over abelian groups. Using that necessary and sufficient condition, we prove that complement of a cycle on $2 p^s$ vertices, where $p$ is an odd prime and $s$ is a positive integer, exhibits PGFR.  In the class of unitary Cayley graphs, we prove that an unitary Cayley graph on $n$ ($n \geq 8$) vertices exhibits PGFR if and only if $n = 2p$, where $p$ is an odd prime. The preceding two classes of circulant graphs provide infinitely many circulant graphs exhibiting PGFR that fails to exhibits PGST. Further we obtain more circulant graphs exhibiting PGFR. We also obtain some classes of circulant graphs not exhibiting PGFR. Some of our results generalize the results of Chan et al. [Pretty good quantum fractional revival in paths and cycles. \textit {Algebr. Comb.} 4(6) (2021), 989-1004.] for cycles.        
"
92,Shih-Hao,Huang,MS20: Manifold learning and statistical applications,"Coordinate testing for general sufficient dimension reduction methods
","In modern data analysis, the number of covariates is often large, and the relationship between covariates and response is often complex. Parametric regression risks model misspecification, while nonparametric regression suffers from the curse of dimensionality. Sufficient dimension reduction (SDR) regression provides a flexible alternative, summarizing covariate effects through a few linear combinations without imposing a specific functional form. While SDR methods have been extensively studied, coordinate testing, which assesses the contribution of a set of linear combinations of covariates, has been largely overlooked. To address this gap, we propose a novel method that transforms the coordinate testing problem into a dimension testing problem by applying appropriate residualization. Since dimension tests are well-established, this method allows practitioners to leverage existing inference tools within the SDR framework.
"
93,Soichi,Okada,MS25: Enumerative/algebraic combinatorics and matrices,"Bounded Littlewood identities for cylindric Schur functions and related combinatorics
","The bounded Littlewood identities are determinant formulas for 
the sum of Schur functions indexed by partitions with bounded height. 
These have interesting combinatorial consequences involving 
standard Young tableaux of bounded height. In this talk, we 
give affine analogs of the bounded Littlewood identities, which 
are determinant formulas for sums of cylindric Schur functions. 
As an application, we obtain equinumerous results between cylindric 
standard Young tableaux and partial matchings.

This talk is based on a joint work with JiSun Huh, Jang Soo Kim, 
and Christian Krattenthaler.
"
94,Yotsanan,Meemark,Contributed talk,"Spectral properties and perfect state transfer in unitary $(t-1)$-matching $t$-Cayley graphs
","We introduce a new family of Cayley graphs arising from a collection of subsets of a finite group. It is a generalization of a Cayley graph and a bi-Cayley  graphs, so we call it a $t$-Cayley graph. Let ${\mathcal{R}}$ be direct products of finite matrix rings.
 We work on  unitary $(t-1)$-matching $t$-Cayley graph of ${\mathcal{R}}$ and its complement graph. We show that the graphs are hyperenergetic and obtain a criterion on $t$ and the rings ${\mathcal{R}}$ for each graph being a Ramanujan graph.  Moreover, we show that the unitary $(t-1)$-matching $t$-Cayley graph of ${\mathcal{R}}$ is always periodic and also
  characterize $t$ and the rings ${\mathcal{R}}$ such that its corresponding unitary $(t-1)$-matching $t$-Cayley graph has perfect state transfer between vertices."
95,Peter,Semrl,MS12: Preserver problems,"Local order isomorphisms on operator and matrix domains
","Let $H_n$ denote the set of all $n\times n$ complex hermitian matrices and $S_n$ the set of all $n \times n$ real symmetric matrices. A subset $U \subset H_n$ ($U \subset S_n$) is called a matrix domain if it is open and connected. The general form of maps $\phi : U \to H_n$ ($\phi : U \to S_n$) preserving the usual Loewner order in both directions will be discussed. We will also treat the infinite-dimensional case.
"
96,Daisuke,Hirota,"MS35: Preserver Problems, II","Tingley's problem concerning the direct sum of extremely C-regular subspaces with the $\ell^p$-norm.
","Tingley's problem asks whether every surjective isometry between the unit spheres of two Banach spaces can be 
extended to a surjective real-linear \nobreak{isometry} between the whole spaces. 
Let $\{A_{\lambda}\}_{\lambda\in\Lambda}$ be a family of uniformly closed, extremely C-regular subspaces,  
and 
let $p$ be a real number such that $1<p<\infty$ with $p\neq 2$. 
We denote by $A_{\Lambda}^{p}$ the Banach space of formed by the direct sum of $\{A_{\lambda}\}_{\lambda\in \Lambda}$ 
equipped with the norm $\|{\bm{f}}\|_{p}=\left(\sum_{\lambda\in \Lambda}\|{\bm{f}}_{\lambda}\|_{\infty}^{p}\right)^{1/p}$ for ${\bm{f}}\in A_{\Lambda}^{p}$. \\
\quad In this presentation, I will speak on the fact that
 if $\Delta$ is a surjective isometry between two unit spheres $S(A_{M}^{p})$ and $S(A_{N}^{p})$ of the Banach spaces 
 $A_{M}^{p}$ and $A_{N}^{p}$, 
 then $\Delta$ admits an extension to a surjective real-linear isometry between the whole spaces."
97,Bibekananda,Sitha,"MS5: Advances in matrix equations: Theory, computations, and applications",Dual core-EP generalized inverse and decomposition,"In this work, we introduce a new type of generalized inverse called dual core-EP generalized inverse (in short DCEPGI) for dual square matrices. We analyze the existence and uniqueness of the DCEPGI inverse and its compact formula using dual Drazin and dual MP inverses. Moreover, some characterizations using core-EP  decomposition are obtained. We present a new dual matrix decomposition named the dual core-EP decomposition for square dual matrices. In addition, some relationships with other dual generalized inverses are established. Solutions to some inconsistent system of linear dual equations are derived."
98,Daryl,Granario,MS31: Matrix decompositions and applications,"Some factorizations in the complex symplectic group
","As one of the classical Lie groups, the complex symplectic group is fundamental not only in mathematics but also in various related fields. We look at some important matrix decompositions when restricted to the complex symplectic group. In particular, we look at how we can use symplectic versions of canonical forms to derive decompositions such as the one given by Ballantine concerning products of positive definite matrices, and the one given by Sourour concerning the spectra of factors in a product of matrices.
"
99,Yu-Jie,Huang,MS20: Manifold learning and statistical applications,Application of VoxelMorph and SynthMorph for multitype 3D medical image registration,"In this work, we explore the application of VoxelMorph and SynthMorph for 3D medical image registration. VoxelMorph provides a deep learning-based framework that utilizes deformable pairwise registration, enabling the alignment of complex anatomical structures through continuous deformation fields. By modeling transformations as smooth manifolds, VoxelMorph facilitates precise, non-rigid alignment, making it well-suited for capturing intricate deformations in medical images. SynthMorph further extends this approach, offering a robust method for image registration across diverse MRI contrasts, effectively handling variations in image intensities without relying on acquired imaging data. We investigate how these deformable models can be integrated into existing medical imaging workflows to enhance multi-type image registration, improving the alignment of images with varying anatomical and contrast properties."
100,Szu Han,Lin,MS20: Manifold learning and statistical applications,"Distributed $t$-SNE
","The $t$-distributed stochastic neighbor embedding method  ($t$-SNE, Maaten
and Hinton, 2008) has gained popularity for data exploration, particularly for its highly effective visualization of high-dimensional data, offering valuable insights before analysis. However, with a computational complexity of $O(n^2)$, its applicability to large datasets is limited. In practical applications, the Barnes-Hut $t$-SNE  (BH $t$-SNE, Maaten, 2014), a $t$-SNE variant with computational complexity $O(n\log n)$, is commonly employed for large datasets due to its high computational efficiency. In this work, we propose a divide-and-conquer approach that further reduces the computational complexity to $O(n)$, significantly lowering both computational time and memory usage by processing only subsets of the data at a time. Implementing the divide-and-conquer approach requires careful parameter adjustments to ensure asymptotic equivalence to the original $t$-SNE. We provide theoretical proof of this convergence and support our findings with simulation studies on the MNIST dataset. In summary, this work offers a scalable solution for applying $t$-SNE to extremely large datasets, maintaining its consistency and efficiency.
"
101,Nikolai,Krivulin,Contributed talk,"An alternating algorithm for tropical best discrete approximation
","We consider a best discrete approximation problem in the setting of tropical (idempotent) algebra dealing with the theory and application of semirings and semifields with idempotent operations. Given a set of input-output pairs of an unknown function defined on a tropical semifield, the problem is to determine an approximating rational function formed by two Puiseux polynomials as numerator and denominator in the function. With specified numbers of monomials in both polynomials, the approximation aims at evaluating the exponent and coefficient for each monomial in the polynomials to fit the rational function to the given data in the sense of a tropical distance function. To solve the problem, we transform it into approximation of a vector equation with unknown vectors on both sides with one side answered to the numerator polynomial and the other side to the denominator. Each side of the equation involves a matrix with entries dependent on the unknown exponents, multiplied by the vector of unknown coefficients of monomials in the corresponding polynomial. We propose an algorithm that constructs a series of approximate solutions by alternatively fixing one side of the equation to the already found result and leaving the other intact. The obtained equation is first approximated with respect to the vector of coefficients, which results in a vector of coefficients and approximation error both parameterized by the exponents. Furthermore, the values of exponents are found by minimization of the approximation error, using an optimization procedure that is based on an agglomerative clustering technique. To illustrate applications, we present results for approximation problems formulated in terms of max-plus algebra (a real semifield with addition defined as maximum and multiplication as arithmetic addition), which correspond to ordinary problems of piecewise linear approximation of real functions. As our numerical experience shows, the proposed algorithm converges in a finite number of steps and provides a reasonably good solution to approximation problems considered.   
"
102,Qing,Li,MS1: Embracing new opportunities in numerical linear algebra,"Determine the exact value of the square root of $2$
","The calculation of the exact value of the square root of $2$ is requested. In order to obtain its infinite value, A new concept is proposed where the accumulations of the infinitely many of finity is indicated by the change in direction which means that there is a jump from finity to infinity .The meaningless for an infinite number with a decimal point is indicated by this jump because any decimal number only have meanings within a finite range values and there is only an infinite integer quantity that can not be operated by algorithms like operations of multiplication,division,addition, and subtraction . The final result of the change in direction is two quantity where the second quantity and the first quantity extend in parallel line and never intersect and the second quantity represent the size of the first quantity. The first quantity is the infinitely great that can't be talked about anything outside of it and can compress any quantities outside of it to nothing and it is the exact value of the square root of $2$ . "
103,Hieu,Ha Van,Contributed talk,"AMDS symbol-pair constacyclic codes
","Let $p$ be an odd prime, and let $\mathbb F_p$ be the finite field with $p$ elements. In this talk, I will first construct new AMDS symbol-pair cyclic codes of length $4p$ by analyzing their generator polynomials. Then, using the generator polynomial, I derive a family of AMDS symbol-pair constacyclic codes of the same length.
"
104,Mary,Flagg,MS17: Graphs and matrices in honor of Leslie Hogben's retirement,"Reconfiguring a community
","Reconfiguration is a process of transforming one feasible solution to a problem into another feasible solution in small incremental steps while maintaining the property of being a solution at each step. In the case of graph theory, solutions to problems are often subsets of the vertex set with a specific property. We refer to these as vertex set parameters. In this talk I will share a universal approach to vertex set parameter reconfiguration developed with Leslie Hogben and Bryan Curtis that is applied to zero forcing variants as well as other common graph parameters. Zero forcing was developed in this community to be an upper bound to the nullity of any real symmetric matrix with off-diagonal zero pattern determined by the adjacency matrix of a given graph. Understanding zero forcing sets has applications to understanding eigenvalues and eigenvectors of these matrices. 
Reconfiguration is also a description of how Leslie Hogben has helped to change our community for the better, one step at a time by facilitating community and research opportunity to graduate students, new researchers and faculty at undergraduate institutions. I will share my perspective on her reconfiguration efforts.
"
105,Pinki,Khatun,MS11: Structured matrix computations and its applications,"Structured backward errors for special classes of saddle point problems with applications
","Saddle point problems (SPPs) have garnered significant attention in recent times due to their pervasive occurrence in applications such as computational fluid dynamics and constrained and weighted least square estimation. Many numerical algorithms have been developed to find the efficient solution of the {SPP}  with {{circulant}}, {Toeplitz}, or {symmetric}-{Toeplitz} block matrices. This prompts a natural inquiry: can an approximate solution obtained from a numerical algorithm be the exact solution to a nearly perturbed problem? The concept of backward error ({BE})  is used to determine how far a computed solution stands from the original problem. Recent research efforts have focused on exploring the  BE for SPPs. However, these investigations overlook the inherent sparsity pattern and {{circulant}},  {Toeplitz} or symmetric-Toeplitz structures of the coefficient matrix of the SPP. To overcome these limitations, we investigate the structured  {BEs} of {SPPs} when the perturbation matrices exploit the sparsity pattern as well as { {circulant}},  {Toeplitz}, and  {symmetric}-{Toeplitz} structures. Furthermore, we construct minimal perturbation matrices that preserve the sparsity pattern and the aforementioned structures. One application of the obtained results is discussed in deriving structured  {BEs} for the weighted regularized least squares problem. Numerical experiment are performed to validate our findings, showcasing the utility of the obtained structured  {BEs} in assessing the strong stability of numerical algorithms.
"
106,Valerio,Loi,"MS19: Explicit and hidden asymptotic structures, GLT Analysis, and applications","Spectral analysis, approximation, and preconditioning for block structured matrix-sequences
","Large block-structured matrices with Toeplitz-type blocks of different sizes frequently arise in various applications, but pose computational issues when solving the associated linear systems. In our setting, the matrices \(A_n\) are composed of (block rectangular) Toeplitz blocks defined by rectangular \(s \times t\) matrix-valued generating functions, and can be viewed as a generalization of classical GLT (Generalized Locally Toeplitz) sequences. Under mild assumptions on the block dimensions, the asymptotic distribution of the singular values of the associated matrix sequences is recently known. Moreover, when the singular value symbol is Hermitian, the spectral symbol coincides with the singular value symbol. Starting from the tools used to determine this singular value distribution, we develop a general preconditioning framework to construct simplified block matrices that approximate the original matrices. These simplified matrices offer two key advantages:\\
1. They maintain the same singular value distributions as \(\{A_n\}_{n}\); \\
2. They enable the solution of linear systems in \(\mathcal{O}(n \log n)\) arithmetic operations.\\
In this way, we propose a natural preconditioning strategy for linear systems with coefficient matrix \(A_n\). We provide detailed singular value and spectral analyses of the preconditioned matrix sequences and validate our approach through numerical experiments concerning the convergence of various (preconditioned) Krylov solvers.
"
107,Michael,Orlitzky,"MS28: From matrix theory to Euclidean Jordan algebras, FTvN systems, and beyond","Jordan and isometric cone automorphisms in Euclidean Jordan algebras
","Every symmetric cone $K$ arises as the cone of squares in a Euclidean
Jordan algebra $V$. As $V$ is a real inner-product space, we may
denote by $\operatorname{Isom}\left(V\right)$ its group of
isometries. The groups $\operatorname{JAut}\left(V\right)$ of its
Jordan-algebra automorphisms and $\operatorname{Aut}\left(K\right)$
of the linear cone automorphisms are then related. For certain inner
products,
%
\begin{equation*}
  \operatorname{JAut}\left(V\right)
  =
  \operatorname{Aut}\left(K\right)
  \cap
  \operatorname{Isom}\left(V\right).
\end{equation*}
%
We characterize the inner products for which this holds.
"
108,Sushil,Singla,"MS35: Preserver Problems, II","Linear maps preserving product of involutions
","Let $M_n(\mathbb F)$ the algebra of $n \times n$ matrices over a field  $\mathbb F$.  A matrix $A\in M_n(\mathbb F)$ is said to be involution if $A^2=I$ (the identity matrix in $M_n(\mathbb F)$). Two interesting known facts about the product of involutions are as follows.\\ \\
 (a) A matrix in $  M_n(\mathbb F)$ is similar to its inverse if and only if it can be written as a product of two involutions in $M_n(\mathbb F)$.\\ \\
 (b) An element $X \in M_n(\mathbb F)$ has $\det(X) =\pm 1$ if and only if $X$ can be written as a product of at most four involutions from $M_n(\mathbb F)$. As a consequence, any matrix which is products of involutions can be written as product of at most four involutions.\\ \\
In this talk, we will investigate the bijective linear preservers of matrices in $M_n(\mathbb F)$, which are products of at most two, or three, or four involutions. This is a joint work with Chi-Kwong Li and Tejbir Lohan.

"
109,Chih-Sheng,Chuang,Contributed talk,"Algorithms and inertial algorithms for the inverse mixed variational inequality problems in Hilbert spaces
","The inverse mixed variational inequality problem comes from the classical variational inequality, and it has many
applications. In this paper, we propose new algorithms to study the inverse mixed variational inequality problems in Hilbert spaces, and these algorithms based on the generalized projection operator. Next, we establish convergence theorems under inverse strongly monotonicity conditions. Besides, we also give inertial-type algorithms for the inverse mixed variational inequality problems, and the conditions are different from the above convergence theorems. 
"
110,Manu,Mathew,Contributed talk,"Completely positive factorization
","A real symmetric matrix $M$ of size $n$ is a completely positive matrix if there exists a real non-negative(entrywise) matrix $B$ of size $n\times m$ such that $M=BB^T$. Completely positive matrix has applications in block designs, complementarity problems and optimization problems. The collection of all completely positive matrices of size $n$  is a proper cone in the vector space of all real symmetric matrices of size $n$. The dual of the completely positive cone is the copositive cone. These cones are widely studied in copositive programming. It is well known that a positive semidefinite matrix $M$ of size $n$ can be factorized as $M=AA^T$ for some real matrix $A$ of size $n$. The membership problem of the completely positive matrices is proven to be NP-hard. In this talk, we discuss, a sufficient condition for a symmetric matrix $M$ to be completely positive, when $M$ has initial factorization $M=AA^T$. We also find a completely positive factorization of $M$ when it is completely positive."
111,Bit-Shun,Tam,Contributed talk,On the maximal $A_\alpha$-index of graphs with a prescribed number of edges,"\noindent  For any real number $\alpha\in [0,1]$, by the {\it
$A_\alpha$-matrix} of a graph $G$ we mean the matrix
$A_{\alpha}(G)=\alpha D(G)+(1-\alpha)A(G)$, where $A(G)$ and $D(G)$
are the adjacency matrix and the diagonal matrix of vertex degrees
of $G$, respectively. The largest eigenvalue of $A_{\alpha}(G)$ is
called the $A_\alpha$-index of $G$. Chang and Tam (2023) have solved
the problem of determining graphs with maximal $A_{\alpha}$-index
over $\mathcal{G}(n,m)$, the class of graphs with $n$ vertices and
$m$ edges, for $\alpha \in [\frac{1}{2},1)$ and $1\le m\le 2n-3$. In
the same paper, they posed the problem of characterizing graphs in
$\mathcal{G}(n,m)$ that maximize the $A_{\alpha}$-index for $0<
\alpha < \frac{1}{2}$ and $m\le n-1$. In this work, it is noted
that, for any $\alpha\in [0,1)$, the problem of characterizing
graphs with maximal $A_{\alpha}$-index over $\mathcal{G}(n,m)$ with
$m\le n-1$ is equivalent to the problem of characterizing graphs
with maximal $A_{\alpha}$-index over $\mathscr{S}(m)$, the class of
graphs with $m$ edges. In connection with the latter problem, we
pose the following conjecture: Let $m\ge 3$ be a positive integer
and suppose that $m={d\choose 2}+t$ with $0\le t < d$. There exists
a real number $\alpha_0$, $\alpha_0=\frac{1}{2}$ for $m=3$ and
$\alpha_0\in [0,\frac{1}{2})$ for $m\ge 4$, such that for any
$\alpha \in [0,1)$, $C^m_{d+1}$ (replaced by $K_d$, in case $t=0$),
where $C^m_n$ denotes the quasi-complete graph with $n$ vertices and
$m$ edges, or $K_{1,m}$ is the unique connected graph with $m$ edges
that maximize the $A_{\alpha}$-index over $\mathscr{S}(m)$,
depending on whether $\alpha\in [0,\alpha_0)$ or $\alpha\in
(\alpha_0,1)$; when $\alpha = \alpha_0$, there are exactly two
connected graphs that maximize the $A_{\alpha}$-index over
$\mathscr{S}(m)$, namely, $C^m_{d+1}$ (or $K_d$, in case $t=0$) and
$K_{1,m}$. The conjecture is established when $t=0$.

\vspace{2mm} \noindent{\it Keywords}\,: Maximal $A_{\alpha}$-index
problem; Maximal graph; Threshold graph; Neighborhood equivalence
classes; Quasi-complete graphs; Quasi-stars.
 \vspace{2mm}

\noindent{AMS subject classification:} 05C35,\ 05C50"
112,Shuhei,Wada,MS29: Matrix functions and related topics,"On some multi-variable means of ALM type
","The study of multivariable operator geometric means was pioneered by Ando, Li, and Mathias (ALM). In recent years, research has primarily focused on operator means obtained as solutions to operator equations. Nevertheless, there has been growing interest in operator means of ALM type, which are obtained by generalizing their approach. ALM-type means are particularly notable because the approximating sequences are explicitly given, making it easier to understand their properties. In this talk, we will introduce an example of an ALM-type mean and discuss its properties. Additionally, we will touch upon related results.
"
113,Stefano,Pozza,MS23: Advances in Krylov subspace methods and their applications,"Krylov subspace methods an the $\star$-algebra
","The $\star$-algebra \cite{Man24} has been successfully employed to solve a system of linear ODEs with time-dependent coefficients by transforming the ODE into a system of linear $\star$-equations \cite{BonPozVan23,GisPoz}. Many classical linear algebra methods and decomposition can be recovered in the $\star$-algebra. The recovered methods are a time-dependent version of the original ones. For example, the $\star$-Lanczos algorithm \cite{GisPoz} generalizes the (classical) non-Hermitian Lanczos algorithm and extends the well-known connections between matrix moments, and the Lanczos algorithm \cite{GolMeu,PozPraStr} to the time-dependent case.
The relation between the classical Krylov subspace methods and their $\star$-counterparts can be used as a way to compute the solution of ODEs by the $\star$-algebra approach and, vice versa, to analyze classical Krylov subspace methods for time-dependent matrices with possible applications to perturbed matrices.

\begin{thebibliography}{99}
\bibitem{BonPozVan23}
Bonhomme, C., Pozza, P., Van Buggenhout, N.:
A new fast numerical method for the generalized Rosen-Zener model. rXiv:2311.04144 [math.NA] (2023)

\bibitem{GisPoz}
Giscard, P-L., Pozza, S., A Lanczos-like method for non-autonomous linear ordinary differential equations. Boll. Unione Mat. Ital 16, 81--102 (2023)

\bibitem{GolMeu}
Golub, G.H., Meurant, G.: Matrices, Moments and Quadrature with Applications. Princeton University Press, Princeton (2010)

\bibitem{PozPraStr}
Pozza, S., Prani\'c, M.S., Strako\v s, Z.: Gauss quadrature for quasi-definite linear functionals. IMA J. Numer. Anal. 37(3), 1468--1495 (2017)

\bibitem{Man24}
Ryckebusch, M.: A Fr\'echet-Lie group on distributions. arXiv:2307.09037 [math.FA] (2024).

\end{thebibliography}"
114,Nian,Shao,MS23: Advances in Krylov subspace methods and their applications,"Lanczos with compression for symmetric eigenvalue problems
","Lanczos method with implicit restarting is one of the most successful methods for finding a few eigenpairs of a large-scale symmetric matrix.
Despite its widespread use, the core approach of employing polynomial filtering for restarting has remained unchanged over the past two decades.
In this talk, we introduce a novel compression strategy, called Lanczos with compression, as an alternative to restarting.
Unlike restarting, Lanczos with compression sacrifices the Krylov structure but preserves the subsequent Lanczos sequence.
Theoretical analysis demonstrates that the compression introduces only a small error compared to the standard Lanczos method.
Numerical results show that, in terms of matrix-vector products, our approach is never worse and often outperforms the restarting strategy, sometimes by a significant margin.
"
115,Shmuel,Friedland,MS8: Tensor and quantum information science,"On entaglement, separability and their computability","In this talk we survey some results on entanglement and separablity of general, symmetric (bosons),  skew-symmetric (fermions) tensors, and their computability.  We will survey briefly some results that I coauthored."
116,Mark,Kempton,MS15: Graphs and their eigenvalues: Celebrating the work of Fan Chung Graham,"Nonbacktracking random walks: mixing rate, Kemeny's constant, and beyond","Random walks on graphs are ubiquitous in spectral graph theory, both in helping us understand graphs and for applications in graph algorithms.  Considerable research has been done in the last two decades around understanding how forbidding backtracking affects the random walk.  We will discuss past and current research on how forbidding backtracking affects mixing rates, hitting times, Kemeny's constant, and other aspects of random walks, and we will discuss some future directions for exploration.
"
117,Duc-Quoc,Huynh,Contributed talk,Nonmonotone diagonal quasi-Newton accelerated gradient descent methods for the nearest correlation matrix problems ,"The nearest correlation matrix (NCM) problem poses computational difficulties with critical implications in finance and actuarial science. Accurate correlation matrices are essential for effective risk management and investment strategies.  
The NCM problem is mathematically formulated as a constrained optimization problem, often solved using the alternating projection method (APM) or alternating direction of multipliers method (ADMM) . However, its slow linear convergence and required complete eigenvalue decomposition at each iteration render it computationally expensive and impractical for large-scale problems. Alternatively, the NCM problem can be reformulated as an unconstrained optimization task in its dual form, taking advantage of its convex structure. It allows for a focus on minimizing the dual objective function by solving for the zeros of its gradient to satisfy first-order optimality conditions. Our proposed method belongs to the framework of the generalized linesearch iterative methods, incorporating two basic elements: search direction and stepsize determination. Additionally, we introduce two practical mechanisms, including an accelerated step and nonlinear preconditioning, to improve the method's robustness and efficiency.
We proposed the quasi-Newton method with diagonal Jacobian approximation (QN-SDAJ), which is used as a nonlinear preconditioner to accelerate gradient descent, significantly reducing the number of iterations and computational time. Numerical results show that our proposed method outperforms existing alternatives, including accelerated gradient descent, semismooth inexact Newton, and APM, particularly for large-scale problems, demonstrating superior efficiency."
118,Fumio,Hiai,Plenary talk,"Various inequalities for quasi-arithmetic mean and quasi-geometric type means of matrices","Our targets in this talk are the quasi extensions of the weighted arithmetic mean and of the weighted geometric type means, including the weighted geometric mean, the weighted spectral geometric mean, the R\'enyi mean, and the Log-Euclidean mean, for positive (semi)definite matrices. For example,
\begin{align*}
&\mathcal{A}_{\alpha,p}(A,B):=(\alpha A^p+(1-\alpha)B^p)^{1/p},
\ \mbox{the quasi-weighted arithmetic mean}, \\
&G_{\alpha,p}(A,B):=(A^p\#_\alpha B^p)^{1/p},
\ \mbox{the quasi-weighted geometric mean}, \\
&R_{\alpha,p}(A,B):=\bigl(B^{{1-\alpha\over2}p}A^{\alpha p}B^{{1-\alpha\over2}p}\bigr)^{1/p},
\ \mbox{the R\'enyi mean}, \\
&LE_\alpha(A,B):=\exp(\alpha\log A+(1-\alpha)\log B),
\ \mbox{the weighted Log-Euclidean mean},
\end{align*}
where $\alpha\in(0,1)$ (or all $\alpha>0$) is the weight parameter and $p>0$ is the parameter of the quasi extension.
For the quasi versions of these weighted matrix means we consider inequalities in different types of orders such as the Loewner order $\le$, the chaotic $\le_{\mathrm{ch}}$ (i.e., $\log X\le \log Y$), the near order $\le_{\mathrm{ne}}$ (i.e., $X\#Y^{-1}\le I$), the entrywise eigenvalue order $\le_\lambda$, the log-majorization $\prec_{\log}$, the weak majorization $\prec_w$, and the order under trace (i.e., $\mathrm{Tr}\,X\le\mathrm{Tr}\,Y$), whose order relations weaken in this writing order.
Our objective is to pursue under which condition of the parameters $\alpha,p,q$ the inequality $\mathcal{M}_{\alpha,p}(A,B)\triangleleft\mathcal{N}_{\alpha,q}(A,B)$ holds for all positive (semi)definite matrices $A,B$, for any pair $(\mathcal{M}_{\alpha,p},\mathcal{N}_{\alpha,q})$ from the above quasi-weighted means and for any order $\triangleleft$ mentioned above.
For instance, it is shown that $\mathcal{A}_{\alpha,p}(A,B)\le\mathcal{A}_{\alpha,q}(A,B)$ holds for all $A,B\ge0$ if and only if $p=q$ or $1\le p<q$ or $1/2\le p<1\le q$, whereas, for any other weaker order $\triangleleft$, $\mathcal{A}_{\alpha,p}(A,B)\triangleleft\mathcal{A}_{\alpha,q}(A,B)$ holds for all $A,B\ge0$ if and only if $p\le q$. When $(\mathcal{M}_{\alpha,p},\mathcal{N}_{\alpha,q})$ is a pair from the quasi-weighted geometric type means, we are mostly interested in the condition of $\alpha,p,q$ under which the log-majorization $\mathcal{M}_{\alpha,p}(A,B)\prec_{\log}\mathcal{N}_{\alpha,q}(A,B)$ holds and whether $AB=BA$ follows from the equality case $\mathrm{Tr}\,\mathcal{M}_{\alpha,p}(A,B)=\mathrm{Tr}\,\mathcal{N}_{\alpha,q}(A,B)$ in this situation."
119,Massimiliano,Fasi,"MS5: Advances in matrix equations: Theory, computations, and applications","Mixed-Precision Algorithms for the Sylvester Matrix Equation
","Modern supercomputers achieve their remarkable speeds by leveraging machine-learning hardware accelerators.
These accelerators deliver extraordinary throughput by trading off some degree of accuracy, and, to fully utilise their potential, we must rely on low-precision floating-point formats such as binary16, bfloat16, or binary8.
These reduced-precision formats can have a throughput up to two orders of magnitude higher than binary64, but they lack the precision needed for traditional scientific simulations, which require higher accuracy to yield meaningful results.
To integrate GPUs effectively into scientific computing, we must reimagine high-precision computations by strategically applying lower precision whenever feasible.

We consider techniques to solve the general Sylvester equation $AX + XB = C$ in mixed precision.
By revisiting a stationary iteration for linear systems, we derive a new iterative refinement scheme for the quasi-triangular Sylvester equation.
We then leverage this iterative scheme to solve the general Sylvester equation in mixed precision.
The new algorithms compute the Schur decomposition of the matrix coefficients in low precision, use the low-precision Schur factors to obtain an approximate solution to the quasi-triangular equation, and iteratively refine it to obtain a working-precision solution to the quasi-triangular equation.
However, being only orthonormal to low precision, the unitary Schur factors of A and B cannot be used to recover the solution to the original equation.
We propose two effective approaches to address this issue: one is based on re-orthonormalization in the working precision, and the other on explicit inversion of the almost-unitary factors.

This is joint work with Andrii Dmytryshyn, Nicholas J.~Higham, and Xiaobo Liu.
 "
